neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
2,2,3,1,1,80,6,100,10,0,1,0,0,1,0,1,1,1,1,0,0,0
2,2,3,1,1,42,2,90,10,1,0,0,0,1,0,1,1,1,1,0,0,0
2,2,3,1,1,60,2,100,10,1,1,0,0,1,0,1,1,0,1,0,0,0
2,4,3,1,2,69,13,97,10,1,0,1,0,1,0,0,1,1,1,0,0,0
2,4,3,1,1,55,8,95,10,1,1,0,0,1,0,0,1,1,1,0,0,0
2,4,3,1,2,60,4,100,10,0,1,0,0,1,0,1,1,1,1,0,0,0
2,4,3,1,2,45,2,100,10,1,1,1,0,1,0,0,1,0,1,0,0,0
2,2,3,1,3,30,2,100,10,1,1,1,0,1,0,0,1,0,1,0,0,0
3,4,3,0,2,60,51,95,10,0,1,1,0,1,0,0,1,0,1,1,0,0
3,4,3,1,3,59,345,96,10,1,1,0,0,1,0,0,1,1,1,0,0,0
3,2,3,1,1,50,5,100,10,0,1,0,0,1,0,1,1,1,1,0,0,0
3,6,3,2,4,69,289,94,10,1,1,1,0,1,0,0,1,0,1,0,0,0
3,2,3,1,2,70,11,95,10,0,1,0,1,1,0,0,1,1,1,1,0,0
3,2,3,1,1,55,139,95,10,1,1,0,0,1,0,0,1,1,1,0,0,0
3,2,3,2,2,80,11,98,10,1,1,0,0,1,0,0,1,1,1,0,0,0
3,2,3,1,2,100,2,100,10,1,0,0,0,1,0,1,1,1,1,0,0,0
3,3,3,1,2,70,6,93,10,0,1,1,0,1,0,1,1,0,1,0,0,0
3,3,3,1,2,60,63,91,10,1,0,1,0,1,0,0,1,1,1,0,0,0
3,4,6,1,2,69,100,89,10,1,1,0,0,1,0,0,1,1,1,0,0,0
3,3,3,1,2,55,17,92,10,1,0,1,0,1,0,0,1,1,1,0,1,0
3,4,3,1,2,90,5,100,10,1,1,0,0,1,0,0,1,1,1,0,0,0
3,4,5,1,1,58,5,90,10,1,1,0,0,1,0,0,1,1,1,0,0,0
3,2,3,0,2,45,96,96,10,1,1,0,0,1,0,0,1,1,1,0,0,0
3,4,3,1,2,60,49,96,10,1,0,1,0,1,0,0,1,1,1,0,0,0
